query_phrase,source_domain,url,title,description,date,show,click
"bruce wolese",ru.wikipedia.org,"http://ru.wikipedia.org/wiki/%25D0%259A%25D1%2580%25D0%25B5%25D0%25BF%25D0%25BA%25D0%25B8%25D0%25B9_%25D0%25BE%25D1%2580%25D0%25B5%25D1%2588%25D0%25B5%25D0%25BA:_%25D0%25A5%25D0%25BE%25D1%2580%25D0%25BE%25D1%2588%25D0%25B8%25D0%25B9_%25D0%25B4%25D0%25B5%25D0%25BD%25D1%258C,_%25D1%2587%25D1%2582%25D0%25BE%25D0%25B1%25D1%258B_%25D1%2583%25D0%25BC%25D0%25B5%25D1%2580%25D0%25B5%25D1%2582%25D1%258C&rct=j&sa=U&ei=RRisUNf4EInl4QTuzoDgCw&ved=0CB0QFjAD&q=site:ru.wikipedia.org+bruce+wolese&usg=AFQjCNHR3pFwq2oRqDagqDE6qV8FVJjnAw","Крепкий орешек: Хороший день, чтобы умереть — Википедия","1 2 Брюс Уиллис пообещал ещё два «Крепких орешка»; ↑ 1 2 Willis back for <br><b>...</b> Cast as <b>Bruce Willis</b>' Son; ↑ 'Die Hard 5′ Titled 'A Good Day to Die Hard', <b>...</b>
",2012-11-20,1,
"bruce wolese",ru.wikipedia.org,http://ru.wikipedia.org/wiki/%25D0%2594%25D0%25B2%25D0%25BE%25D0%25B9%25D0%25BD%25D0%25BE%25D0%25B9_%25D0%259A%25D0%259E%25D0%259F%25D0%25B5%25D1%2586&rct=j&sa=U&ei=RRisUNf4EInl4QTuzoDgCw&ved=0CB8QFjAE&q=site:ru.wikipedia.org+bruce+wolese&usg=AFQjCNHQocRVKIu84rjUYyfnoim2rsqgSA,"Двойной КОПец — Википедия","
<b>...</b> magazine; ↑ SModcast 79; ↑ erc BoxOffice; ↑ <b>Bruce Willis</b> and Tracy Morgan <br>  are «A Couple of Cops» for Kevin Smith; ↑ «A Couple of Dicks», Warner Bros.",2012-11-20,1,
"bruce wolese",ru.wikipedia.org,http://ru.wikipedia.org/wiki/%25D0%259A%25D0%25B5%25D0%25B9%25D0%25BD_%25D0%25B8_%25D0%259B%25D0%25B8%25D0%25BD%25D1%2587_(%25D1%2584%25D0%25B8%25D0%25BB%25D1%258C%25D0%25BC)&rct=j&sa=U&ei=RRisUNf4EInl4QTuzoDgCw&ved=0CCIQFjAF&q=site:ru.wikipedia.org+bruce+wolese&usg=AFQjCNErmcLOhWP1V7kObqQI5OCGctJHzA,"Кейн и Линч (фильм) — Википедия","Michael Fleming <b>Bruce Willis</b> game for 'Kane &amp; Lynch' Simon Crane to direct <b>...</b> <br>  Borys Kit, Carolyn Giardina <b>Bruce Willis</b> game for Lionsgate's 'Kane' (англ.).",2012-11-20,1,
"bruce wolese",ru.wikipedia.org,http://ru.wikipedia.org/wiki/LR_Health_%2526_Beauty_Systems&rct=j&sa=U&ei=RRisUNf4EInl4QTuzoDgCw&ved=0CCUQFjAG&q=site:ru.wikipedia.org+bruce+wolese&usg=AFQjCNE5KI9m5E92SiF-DTjDrqiEM29U_A,"LR Health &amp; Beauty Systems — Википедия","
<b>...</b> odstínů od LR ve stylu glamour 2012 (чешск.). Εκδήλωση αύριο από την LR <br>  Health &amp; Beauty Systems (греч.). Regali cinefili – Il profumo di <b>Bruce Willis</b> (итал.<br>  ) <b>...</b>
",2012-11-20,1,
"bruce wolese",ru.wikipedia.org,http://ru.wikipedia.org/wiki/%25D0%259E%25D0%25B1%25D1%2581%25D1%2583%25D0%25B6%25D0%25B4%25D0%25B5%25D0%25BD%25D0%25B8%25D0%25B5_%25D1%2583%25D1%2587%25D0%25B0%25D1%2581%25D1%2582%25D0%25BD%25D0%25B8%25D0%25BA%25D0%25B0:NordNordWest&rct=j&sa=U&ei=RRisUNf4EInl4QTuzoDgCw&ved=0CCcQFjAH&q=site:ru.wikipedia.org+bruce+wolese&usg=AFQjCNGn1XRdXMTllfFOgfcEMNquxryntA,"Обсуждение участника:NordNordWest — Википедия","Ich seh schon den Hollywood-Blockbuster, in dem <b>Bruce Willis</b> als letzter nicht <br>  gesperrter Benutzer mithilfe einer Socke (ohne Sidekick geht's nicht) den Bot <b>...</b>
",2012-11-20,1,
"bruce wolese",ru.wikipedia.org,"http://ru.wikipedia.org/wiki/%25D0%259A%25D0%25BE%25D1%2580%25D1%2582%25D0%25BD%25D0%25B8,_%25D0%2594%25D0%25B6%25D0%25B5%25D0%25B9&rct=j&sa=U&ei=RRisUNf4EInl4QTuzoDgCw&ved=0CCkQFjAI&q=site:ru.wikipedia.org+bruce+wolese&usg=AFQjCNEoVgZO_xAgLlVWisSPKQo81oJA-Q","Кортни, Джей — Википедия","
<b>...</b> Die Hard Jai | The Global Mail; ↑ Jai Courtney - Biography; ↑ 'A Good Day to <br>  Die Hard:' Jai Courtney Cast as <b>Bruce Willis</b>' Son - The Hollywood Reporter <b>...</b>
",2012-11-20,1,
"bruce wolese",ru.wikipedia.org,http://ru.wikipedia.org/wiki/%25D0%2594%25D0%25B5%25D1%2582%25D0%25B5%25D0%25BA%25D1%2582%25D0%25B8%25D0%25B2%25D0%25BD%25D0%25BE%25D0%25B5_%25D0%25B0%25D0%25B3%25D0%25B5%25D0%25BD%25D1%2582%25D1%2581%25D1%2582%25D0%25B2%25D0%25BE_%25C2%25AB%25D0%259B%25D1%2583%25D0%25BD%25D0%25BD%25D1%258B%25D0%25B9_%25D1%2581%25D0%25B2%25D0%25B5%25D1%2582%25C2%25BB&rct=j&sa=U&ei=RRisUNf4EInl4QTuzoDgCw&ved=0CCsQFjAJ&q=site:ru.wikipedia.org+bruce+wolese&usg=AFQjCNFNqDKRx1gii8PgaaR5TSR84lan7w,"Детективное агентство «Лунный свет» — Википедия","В русской озвучке, по непонятным причинам — Топесто. ↑ 1 2 3 4 A&amp;E <br>  Biography Channel, «<b>Bruce Willis</b>» (2005), air date: 2008-06-27 (rebroadcast), <b>...</b>
",2012-11-20,1,
"bruce wolese",lurkmore.to,http://lurkmore.to/%25D0%2591%25D1%2580%25D1%258E%25D1%2581_%25D0%25A3%25D0%25B8%25D0%25BB%25D0%25BB%25D0%25B8%25D1%2581&rct=j&sa=U&ei=RRisUNbDNsmE4ATx4oCACw&ved=0CBUQFjAA&q=site:lurkmore.to+bruce+wolese&usg=AFQjCNEwF2dm0rswldErPS2cX6hkJ3LHEA,"Брюс Уиллис — Lurkmore","3 дн. назад <b>...</b> У Брюса есть собственная группа, где он выступает как солист. Группа <br>  называется «<b>Bruce Willis</b> and the Accelerators». И они думают, что <b>...</b>
",2012-11-20,1,
"bruce wolese",lurkmore.to,http://lurkmore.to/%25D0%25A8%25D0%25B0%25D0%25B1%25D0%25BB%25D0%25BE%25D0%25BD:Spoiler/%25D0%2594%25D0%25BE%25D0%25BA%25D1%2583%25D0%25BC%25D0%25B5%25D0%25BD%25D1%2582%25D0%25B0%25D1%2586%25D0%25B8%25D1%258F&rct=j&sa=U&ei=RRisUNbDNsmE4ATx4oCACw&ved=0CBgQFjAB&q=site:lurkmore.to+bruce+wolese&usg=AFQjCNEwuBIEAG4LBIWeUavv4SPvq_nfcA,"Шаблон:Spoiler/Документация — Lurkmore","7 июл 2012<b>...</b> SOYLENT GREEN IS PEOPLE, <b>BRUCE WILLIS</b> IS A GHOST, PRINCESS LEIA <br>  IS LUKE'S SISTER, WINSTON GETS REPROGRAMMED, <b>...</b>
",2012-11-20,1,
"bruce wolese",lurkmore.to,http://lurkmore.to/Jizz_In_My_Pants&rct=j&sa=U&ei=RRisUNbDNsmE4ATx4oCACw&ved=0CBsQFjAC&q=site:lurkmore.to+bruce+wolese&usg=AFQjCNEQO-Hu0axBZWRZyh25uoqoDofl6Q,"Jizz In My Pants — Lurkmore","22 авг 2012<b>...</b> next day my alarm goes off and I Jizz in my pants Open my window and a <br>  breeze rolls in and I Jizz in my pants When <b>bruce willis</b> was dead at <b>...</b>
",2012-11-20,1,
"bruce wolese",lurkmore.to,http://lurkmore.to/%25D0%259E%25D0%25B1%25D1%2581%25D1%2583%25D0%25B6%25D0%25B4%25D0%25B5%25D0%25BD%25D0%25B8%25D0%25B5:%25D0%259A%25D0%25B8%25D0%25BD%25D0%25BE%25D1%2588%25D1%2582%25D0%25B0%25D0%25BC%25D0%25BF&rct=j&sa=U&ei=RRisUNbDNsmE4ATx4oCACw&ved=0CB4QFjAD&q=site:lurkmore.to+bruce+wolese&usg=AFQjCNHLCjUZK_in7mxKNxYrUB8j6LeIkw,"Обсуждение:Киноштамп — Lurkmore","Таки в фильме ""Брюс Всемогущий / <b>Bruce</b> Almighty"" показали <b>.....</b> Это <br>  происходит, даже если это был <b>Willis</b> времён Второй Мировой без крыши, <br>  ремней, <b>...</b>
",2012-11-20,1,
"bruce wolese",lurkmore.to,http://lurkmore.to/%25D0%25A8%25D0%25B0%25D0%25B1%25D0%25BB%25D0%25BE%25D0%25BD:Spoiler/%25D0%2594%25D0%25BE%25D0%25BA%25D1%2583%25D0%25BC%25D0%25B5%25D0%25BD%25D1%2582%25D0%25B0%25D1%2586%25D0%25B8%25D1%258F&rct=j&sa=U&ei=RhisUPqDCePi4QTqyYGICg&ved=0CBUQFjAAOAE&q=site:lurkmore.to+bruce+wolese&usg=AFQjCNF0K5f_WnfqtgHQwNfwXqLWcLLyWw,"Шаблон:Spoiler/Документация — Lurkmore","7 июл 2012<b>...</b> SOYLENT GREEN IS PEOPLE, <b>BRUCE WILLIS</b> IS A GHOST, PRINCESS LEIA <br>  IS LUKE'S SISTER, WINSTON GETS REPROGRAMMED, <b>...</b>
",2012-11-20,1,
"bruce wolese",lurkmore.to,http://lurkmore.to/Jizz_In_My_Pants&rct=j&sa=U&ei=RhisUPqDCePi4QTqyYGICg&ved=0CBgQFjABOAE&q=site:lurkmore.to+bruce+wolese&usg=AFQjCNEouRh_hov-dPNo82yyDfuBL5tZ1Q,"Jizz In My Pants — Lurkmore","22 авг 2012<b>...</b> next day my alarm goes off and I Jizz in my pants Open my window and a <br>  breeze rolls in and I Jizz in my pants When <b>bruce willis</b> was dead at <b>...</b>
",2012-11-20,1,
"bruce wolese",lurkmore.to,http://lurkmore.to/%25D0%259E%25D0%25B1%25D1%2581%25D1%2583%25D0%25B6%25D0%25B4%25D0%25B5%25D0%25BD%25D0%25B8%25D0%25B5:%25D0%259A%25D0%25B8%25D0%25BD%25D0%25BE%25D1%2588%25D1%2582%25D0%25B0%25D0%25BC%25D0%25BF&rct=j&sa=U&ei=RhisUPqDCePi4QTqyYGICg&ved=0CBsQFjACOAE&q=site:lurkmore.to+bruce+wolese&usg=AFQjCNExJviBa9HQKUXcu0wZ8uBd9DDvoA,"Обсуждение:Киноштамп — Lurkmore","Таки в фильме ""Брюс Всемогущий / <b>Bruce</b> Almighty"" показали <b>.....</b> Это <br>  происходит, даже если это был <b>Willis</b> времён Второй Мировой без крыши, <br>  ремней, <b>...</b>
",2012-11-20,1,
"bruce wolese",lurkmore.to,http://lurkmore.to/Jizz_In_My_Pants&rct=j&sa=U&ei=RhisUOvQFq6M4gS4l4HYCA&ved=0CBUQFjAAOAI&q=site:lurkmore.to+bruce+wolese&usg=AFQjCNFfnLJLOZZQ2oVsREQ3Q0tC7Rc1xw,"Jizz In My Pants — Lurkmore","22 авг 2012<b>...</b> next day my alarm goes off and I Jizz in my pants Open my window and a <br>  breeze rolls in and I Jizz in my pants When <b>bruce willis</b> was dead at <b>...</b>
",2012-11-20,1,
"bruce wolese",lurkmore.to,http://lurkmore.to/%25D0%259E%25D0%25B1%25D1%2581%25D1%2583%25D0%25B6%25D0%25B4%25D0%25B5%25D0%25BD%25D0%25B8%25D0%25B5:%25D0%259A%25D0%25B8%25D0%25BD%25D0%25BE%25D1%2588%25D1%2582%25D0%25B0%25D0%25BC%25D0%25BF&rct=j&sa=U&ei=RhisUOvQFq6M4gS4l4HYCA&ved=0CBgQFjABOAI&q=site:lurkmore.to+bruce+wolese&usg=AFQjCNFfU5VXxb8iPVhTTka5pbHa-ssFCg,"Обсуждение:Киноштамп — Lurkmore","Таки в фильме ""Брюс Всемогущий / <b>Bruce</b> Almighty"" показали <b>.....</b> Это <br>  происходит, даже если это был <b>Willis</b> времён Второй Мировой без крыши, <br>  ремней, <b>...</b>
",2012-11-20,1,
"bruce wolese",lurkmore.to,http://lurkmore.to/%25D0%259E%25D0%25B1%25D1%2581%25D1%2583%25D0%25B6%25D0%25B4%25D0%25B5%25D0%25BD%25D0%25B8%25D0%25B5:%25D0%259A%25D0%25B8%25D0%25BD%25D0%25BE%25D1%2588%25D1%2582%25D0%25B0%25D0%25BC%25D0%25BF&rct=j&sa=U&ei=RhisUL3MI-qp4gT784D4AQ&ved=0CBUQFjAAOAM&q=site:lurkmore.to+bruce+wolese&usg=AFQjCNG7HOo31aKlrC35eIrl1iDQjzPJ3Q,"Обсуждение:Киноштамп — Lurkmore","Таки в фильме ""Брюс Всемогущий / <b>Bruce</b> Almighty"" показали <b>.....</b> Это <br>  происходит, даже если это был <b>Willis</b> времён Второй Мировой без крыши, <br>  ремней, <b>...</b>
",2012-11-20,1,
